,benchmark,env,param1,param2,time
0,pointer_chasing,native,32,1,6356169899.0
1,pointer_chasing,native,64,1,6355912696.0
2,pointer_chasing,native,128,1,6355960608.0
3,pointer_chasing,native,256,1,6356248112.0
4,pointer_chasing,native,512,1,6355481439.0
5,pointer_chasing,native,1024,1,6354488042.0
6,pointer_chasing,native,2048,1,6354097732.0
7,pointer_chasing,native,4096,1,6353638715.0
8,pointer_chasing,native,8192,1,6354159121.0
9,pointer_chasing,native,16384,1,6354030899.0
10,pointer_chasing,native,32768,1,7471397142.0
11,pointer_chasing,native,65536,1,7687023140.0
12,pointer_chasing,native,131072,1,8459258138.0
13,pointer_chasing,native,262144,1,10448714034.0
14,pointer_chasing,native,524288,1,11439861377.0
15,pointer_chasing,native,1048576,1,14882534960.0
16,pointer_chasing,native,2097152,1,43832425547.0
17,pointer_chasing,native,4194304,1,47882544217.0
18,pointer_chasing,native,8388608,1,63596996412.0
19,pointer_chasing,native,16777216,1,72314578189.0
20,pointer_chasing,native,33554432,1,76226745853.0
