,index,benchmark,param,time
0,0,pointer_chasing,32,1.720007517
1,1,pointer_chasing,64,1.720007517
2,2,pointer_chasing,128,1.720007859
3,3,pointer_chasing,256,1.720008543
4,4,pointer_chasing,512,1.720009911
5,5,pointer_chasing,1024,1.720012647
6,6,pointer_chasing,2048,1.7200181190000001
7,7,pointer_chasing,4096,1.7200290630000001
8,8,pointer_chasing,8192,1.7200517709999998
9,9,pointer_chasing,16384,1.720097187
10,10,pointer_chasing,32768,2.524747096
11,11,pointer_chasing,65536,2.8602310560000004
12,12,pointer_chasing,131072,3.028309624
13,13,pointer_chasing,262144,3.1088502239999998
14,14,pointer_chasing,524288,3.1660366360000003
15,15,pointer_chasing,1048576,3.195090516
16,16,pointer_chasing,2097152,3.213296398
17,17,pointer_chasing,4194304,4.278544986
18,18,pointer_chasing,8388608,4.7348605930000005
19,19,pointer_chasing,16777216,4.956749253
20,20,pointer_chasing,33554432,5.069137849
